ID,0,1
Time,2026-Apr-16 14:13:58,2026-Apr-16 14:13:59
API Call ID,644,650
Estimated Speedup [%],89.32,88.77
Runtime Improvement [us],683.15,700.32
Issues Detected [issue],18,18
Function Name,f3s_naive_baseline_kernel,f3s_naive_baseline_kernel
Mangled Name,_Z25f3s_naive_baseline_kernelPKfS0_S0_PfPKiS3_ii,_Z25f3s_naive_baseline_kernelPKfS0_S0_PfPKiS3_ii
Demangled Name,f3s_naive_baseline_kernel..,f3s_naive_baseline_kernel..
Original Demangled Name,"f3s_naive_baseline_kernel(const float *, const float *, const float *, float *, const int *, const int *, int, int)","f3s_naive_baseline_kernel(const float *, const float *, const float *, float *, const int *, const int *, int, int)"
Process,[1052] test_baselines.exe,[1052] test_baselines.exe
Thread ID [thread],31688,31688
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x19bbeaf44a0,0x19bbeaf44a0
CUfunction,0x19bbe903650,0x19bbe903650
Grid Offset,"    0,    0,    0","    0,    0,    0"
Grid Size,"   13,    1,    1","   13,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1"
Grid Dimensions,3,3
Result Type,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"16,29,036","16,80,287"
gpu__time_duration.sum [us],764.86,788.90
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],4.05,3.93
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],9.25,9.10
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{1346},{1355}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{1346},{1355}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{1346},{1355}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],13 {1291},13 {1434}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],0.01 {1346},0.01 {1355}
