ID,0,1,2,3
Time,2026-Apr-16 14:15:58,2026-Apr-16 14:15:58,2026-Apr-16 14:15:59,2026-Apr-16 14:15:59
API Call ID,644,646,648,658
Estimated Speedup [%],26.79,26.79,26.79,76.81
Runtime Improvement [us],1.87,1.89,1.89,17.60
Issues Detected [issue],8,8,8,16
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[29376] test_fused_3s_v1.exe,[29376] test_fused_3s_v1.exe,[29376] test_fused_3s_v1.exe,[29376] test_fused_3s_v1.exe
Thread ID [thread],36484,36484,36484,36484
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x156d5af4f70,0x156d5af4f70,0x156d5af4f70,0x156d65bfe40
CUfunction,0x156d5911350,0x156d5911350,0x156d5911350,0x156d590e330
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  832,    1,    1","  832,    1,    1","  832,    1,    1","  208,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","   32,    4,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"14,774","14,819","14,882","48,614"
gpu__time_duration.sum [us],6.98,7.04,7.04,22.91
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],13.53,13.49,13.43,23.04
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],73.21,73.21,73.21,67.90
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{894},{635},{517},{619}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{894},{635},{517},{619}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{894},{635},{517},{619}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],832 {645},832 {798},832 {660},208 {515}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],0.45 {894},0.45 {635},0.45 {517},0.11 {619}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{615},{480},{450},{605}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{615},{480},{450},{605}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.08 {615},0.11 {480},0.11 {450},2.56 {605}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.05 {615},0.07 {480},0.07 {450},0.30 {605}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,5.86 {615},5.93 {480},5.90 {450},20.84 {605}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],2.74 {615},2.58 {480},2.61 {450},21.62 {605}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],2.35 {615},2.35 {480},2.35 {450},18.87 {605}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{615},{480},{450},{605}
