ID,0,1
Time,2026-Apr-16 14:13:30,2026-Apr-16 14:13:32
API Call ID,644,650
Estimated Speedup [%],88.67,88.37
Runtime Improvement [us],655.52,655.65
Issues Detected [issue],18,18
Function Name,f3s_naive_baseline_kernel,f3s_naive_baseline_kernel
Mangled Name,_Z25f3s_naive_baseline_kernelPKfS0_S0_PfPKiS3_ii,_Z25f3s_naive_baseline_kernelPKfS0_S0_PfPKiS3_ii
Demangled Name,f3s_naive_baseline_kernel..,f3s_naive_baseline_kernel..
Original Demangled Name,"f3s_naive_baseline_kernel(const float *, const float *, const float *, float *, const int *, const int *, int, int)","f3s_naive_baseline_kernel(const float *, const float *, const float *, float *, const int *, const int *, int, int)"
Process,[23508] test_baselines.exe,[23508] test_baselines.exe
Thread ID [thread],33180,33180
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x1c850b44af0,0x1c850b44af0
CUfunction,0x1c850961280,0x1c850961280
Grid Offset,"    0,    0,    0","    0,    0,    0"
Grid Size,"   11,    1,    1","   11,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1"
Grid Dimensions,3,3
Result Type,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"15,74,575   (-0.35%)","15,80,179"
gpu__time_duration.sum [us],739.26   (-0.36%),741.92
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],4.45   (-2.29%),4.56
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],9.92   (-0.34%),9.96
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{1372},{1296}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{1372},{1296}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{1372},{1296}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],11   (+0.00%) {1367},11 {1354}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],0.01   (-0.05%) {1372},0.01 {1296}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{1338},{1344}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{1338},{1344}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],5.27   (+1.72%) {1338},5.18 {1344}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],1.51   (+2.74%) {1338},1.47 {1344}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,275.89  (+13.25%) {1338},243.61 {1344}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],166.68  (-15.11%) {1338},196.35 {1344}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],81.33   (-9.51%) {1338},89.88 {1344}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{1338},{1344}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.89  (-12.92%) {1372},1.03 {1296}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{1338},{1344}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],0.43   (-8.20%) {1372},0.47 {1296}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],0.16   (-5.57%) {1372},0.17 {1296}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],"1,277.59   (-4.90%) {1372}","1,343.42 {1296}"
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"25,551.85   (-4.90%) {1372}","26,868.37 {1296}"
