ID,0,1,2,3
Time,2026-Apr-16 14:14:57,2026-Apr-16 14:14:57,2026-Apr-16 14:14:58,2026-Apr-16 14:14:58
API Call ID,644,646,648,658
Estimated Speedup [%],29.72,28.88,30.63,64.82
Runtime Improvement [us],1.78,1.72,1.85,8.59
Issues Detected [issue],8,8,8,18
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[26860] test_fused_3s_v0.exe,[26860] test_fused_3s_v0.exe,[26860] test_fused_3s_v0.exe,[26860] test_fused_3s_v0.exe
Thread ID [thread],22044,22044,22044,22044
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x292c70ec9d0,0x292c70ec9d0,0x292c70ec9d0,0x292c7335120
CUfunction,0x292c6ef9660,0x292c6ef9660,0x292c6ef9660,0x292c6ef9b30
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  680,    1,    1","  680,    1,    1","  680,    1,    1","  170,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","  128,    1,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"12,629  (-99.20%)","12,505  (-99.21%)","12,812  (-99.19%)","28,024  (-98.23%)"
gpu__time_duration.sum [us],5.98  (-99.19%),5.95  (-99.20%),6.05  (-99.18%),13.25  (-98.21%)
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],12.94 (+183.99%),13.07 (+186.82%),12.76 (+179.96%),14.15 (+210.57%)
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],70.28 (+605.92%),71.12 (+614.35%),69.37 (+596.80%),36.64 (+268.06%)
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{556},{640},{592},{511}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{556},{640},{592},{511}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{556},{640},{592},{511}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],"680 (+6,081.82%) {703}","680 (+6,081.82%) {632}","680 (+6,081.82%) {579}","170 (+1,445.45%) {609}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],"0.37 (+6,105.53%) {556}","0.37 (+6,104.34%) {640}","0.37 (+6,114.03%) {592}","0.09 (+1,447.24%) {511}"
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{456},{543},{949},{592}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{456},{543},{949},{592}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.09  (-98.25%) {456},0.08  (-98.53%) {543},0.04  (-99.16%) {949},0.82  (-84.28%) {592}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.06  (-96.18%) {456},0.05  (-96.79%) {543},0.03  (-98.16%) {949},0.11  (-92.74%) {592}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,4.91  (-97.98%) {456},4.92  (-97.98%) {543},4.97  (-97.96%) {949},11.13  (-95.43%) {592}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],2.13  (-98.92%) {456},2.14  (-98.91%) {543},2.23  (-98.87%) {949},6.83  (-96.52%) {592}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],1.92  (-97.86%) {456},1.92  (-97.86%) {543},1.92  (-97.86%) {949},6.40  (-92.88%) {592}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{456},{543},{949},{592}
